action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
DELETE,HOLDING,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,NLM_9711805,Electronic,,,0,0,"0820-3946 (Print), 1488-2329 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,NLM_9711805,Electronic,,,1986,0,"0820-3946 (Print), 1488-2329 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Complementary therapies in medicine,NLM_9308777,Electronic,,,0,0,"0965-2299 (Print), 1873-6963 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Complementary therapies in medicine,NLM_9308777,Electronic,,,1995,0,"0965-2299 (Print), 1873-6963 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Consensus statement. National Institutes of Health Consensus Development Conference,NLM_9108119,Electronic,,,0,0,1062-0362 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Consensus statement. National Institutes of Health Consensus Development Conference,NLM_9108119,Electronic,,,1990,1992,1062-0362 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,"Current therapeutic research, clinical and experimental",NLM_0372621,Electronic,,,0,0,"0011-393X (Print), 1879-0313 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,"Current therapeutic research, clinical and experimental",NLM_0372621,Electronic,,,1995,0,"0011-393X (Print), 1879-0313 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Current topics in cellular regulation,NLM_2984740R,Electronic,,,0,0,0070-2137 (Print),No,Permanently Retained,0,Years,0,No,No,Yes,10/12/18
DELETE,RANGE,Current topics in cellular regulation,NLM_2984740R,Electronic,,,1996,1997,0070-2137 (Print),No,Permanently Retained,0,Years,0,No,No,Yes,10/12/18
DELETE,RANGE,Current topics in cellular regulation,NLM_2984740R,Electronic,,,2001,2001,0070-2137 (Print),No,Permanently Retained,0,Years,0,No,No,Yes,10/12/18
DELETE,HOLDING,"Diagnostic molecular pathology : the American journal of surgical pathology, part B",NLM_9204924,Electronic,,,0,0,"1052-9551 (Print), 1533-4066 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,"Diagnostic molecular pathology : the American journal of surgical pathology, part B",NLM_9204924,Electronic,,,1992,2003,"1052-9551 (Print), 1533-4066 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Discussions of the Faraday Society,NLM_7507090,Electronic,,,0,0,"0366-9033 (Print), 1754-7679 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,8/30/23
DELETE,RANGE,Discussions of the Faraday Society,NLM_7507090,Electronic,30,52,1960,1971,"0366-9033 (Print), 1754-7679 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,8/30/23
DELETE,HOLDING,Ecotoxicology and environmental safety,NLM_7805381,Electronic,,,0,0,"0147-6513 (Print), 1090-2414 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Ecotoxicology and environmental safety,NLM_7805381,Electronic,1,,0,0,"0147-6513 (Print), 1090-2414 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,NLM_9607439,Electronic,,,0,0,"1530-891X (Print), 1934-2403 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,RANGE,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,NLM_9607439,Electronic,,,2017,0,"1530-891X (Print), 1934-2403 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,HOLDING,Environmental health perspectives,NLM_0330411,Electronic,,,0,0,"0091-6765 (Print), 1552-9924 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
