655 - Local Param 04,BIB 008 MARC,MMS Id,Lifecycle,Lifecycle2
 Acting editions. rbgenr,730116s1958####nyu###########000#d#eng##,991014105589703851,In Repository,Active
 Acting editions. rbgenr,680411s1968####nyua##########000#d#eng##,991008689439703851,In Repository,Active
 Addresses 1887. rbgenr,991207s1887####mau###########100#0#eng#d,991003393449703851,In Repository,Active
 Addresses 21st century. rbgenr,060130t20052005ctu######b####100#0#eng#d,991001610179703851,In Repository,Active
 Addresses United States 1851. rbgenr,740618s1851####dcu###########000#0#eng##,991003267469703851,In Repository,Active
 Addresses Vietnam (Democratic Republic) 20th century. rbgenr,891024s1965####vm############000#0#eng##,991012734409703851,In Repository,Active
 Addresses. rbgenr,061218s1907####enk###########000#s#eng##,991018223349503851,In Repository,Active
 Addresses. rbgenr,810815s1920####mdu###########001#0#eng##,991010510119703851,In Repository,Active
 Addresses. rbgenr,721025s1964####lau######b####000#0#eng##,991003467059703851,In Repository,Active
 Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,750724s1874####mauc##########010#0#eng##,991006183079703851,In Repository,Active
 Adhesive bindings (Binding) rbmscv,740115r19731896nyua##########000#0cenm##,991011010829703851,In Repository,Active
 Adhesive bindings. rbmscv,740115r19731896nyua##########000#0cenm##,991011010829703851,In Repository,Active
 Adhesive bindings. rbmscv,060130t20052005ctu######b####100#0#eng#d,991001610179703851,In Repository,Active
 Advance copies (Printing) 20th century. rbpri,950809t19961996nyu###########000#f#eng##,991004324899703851,In Repository,Active
 Advance copies (Printing) 20th century. rbpri,820507t19821982nyu###########000#f#eng##,991010381449703851,In Repository,Active
 Advance copies (Printing) rbpri,841205s1985####nyu###########000#1#eng##,991011441789703851,In Repository,Active
 Advance copies (Printing) rbpri,931104t19951995nyua###j######000#1#eng##,991004982969703851,In Repository,Active
 Advance copies (Printing) rbpri,040402s2004####mau###########000#1#eng##,991014070039703851,In Repository,Active
 Advance copies (Printing) rbpri,010503s2001####mau###########000#1#eng##,991010841579703851,In Repository,Active
 Advance copies (Printing) rbpri,770928t19781978nyu###########000#f#eng##,991010238459703851,In Repository,Active
 Advance copies (Printing) rbpri,000313t20002000nyua#####ak###000#0#eng#d,991014422569703851,In Repository,Active
 Advance copies (Printing) rbpri,821108t19171917nyucf#########000#0#eng##,991002842479703851,In Repository,Active
 Advance copies (Printing) rbpri,091005s2010####nyu######b####000#p#eng##,991005485979703851,In Repository,Active
 Advance copies (Printing) rbpri,050223s2005####nyu###########000#1#eng##,991014495539703851,In Repository,Active
 Advance copies (Printing) rbpri,150213s2015####nyu###########000#1#eng##,991019458993103851,In Repository,Active
 Advance copies (Printing) rbpri CtY-BR,730309s1950####nyuc#####b####001#0aeng##,991006108009703851,In Repository,Active
 Advance copies (Publishing) rbpub,940610s1994####nyua###e#b####001#0beng##,991015090659703851,In Repository,Active
 Advance copies (Publishing) rbpub,820420s1982####mau###########000#0#eng##,991012760509703851,In Repository,Active
 Advance copies (Publishing) rbpub,870303s1987####nyu###########000#1#eng##,991012653039703851,In Repository,Active
 Advance copies (Publishing) rbpub,070116t20072007nyuabcf##b####001#0deng##,991001090999703851,In Repository,Active
 Advance copies (Publishing) rbpub CU-BANC,140619s2014####nyuab####b####001#0#eng##,991004490789703851,In Repository,Active
 Advance copies. rbpri,980429s1937####mauacfh##b####001#0#eng#d,991012817639703851,In Repository,Active
 Advance copies. rbpri,011127t20022002nyu####j######000#1#eng##,991011610569703851,In Repository,Active
 Advance copy (Printing) rbpri,160920t20172017nyua##########000#1#eng##,991017398527003851,In Repository,Active
 Advertisement United States New York 19th century. rbgenr,750718t18791879nyu###########000#f#eng##,991005281959703851,In Repository,Active
 Advertisements 20th century. rbmscv,770512s1908####okuac#########000#f#eng##,991004466899703851,In Repository,Active
 Advertisements Artists' materials. rbgenr,790629s1819####mduaf#########000#0#eng#d,991002504289703851,In Repository,Active
 Advertisements Auctions. rbgenr,820410s1773####mau#####b#####000#0#eng#d,991006397339703851,In Repository,Deleted
 Advertisements Auctions. rbmscv,820410s1773####mau#####b#####000#0#eng#d,991006397339703851,In Repository,Deleted
 Advertisements Bandages and bandaging. rbmscv,850820s1775####nyu#####b#####000#0#eng#d,991007262479703851,In Repository,Deleted
 Advertisements Barbers. rbgenr,840404q16971698mau#####b#####000#0#eng#d,991007207549703851,In Repository,Deleted
 Advertisements Bookbinding. rbgenr,940621s1775####maua####b#####000#0#eng#d,991006790139703851,In Repository,Deleted
 Advertisements Books New York 1974. rbgenr,781031s1974####nyu###########000#0#eng##,991007923779703851,In Repository,Active
 Advertisements Boston 19th century. rbgenr,730629t18731873mau###########000#f#eng##,991009951039703851,In Repository,Active
 Advertisements Brass founding. rbgenr,870402s1719####nyua####b#####000#0#eng#d,991005815019703851,In Repository,Deleted
 Advertisements Copperwork. rbgenr,860113s1797####vau#####b#####000#0#eng#d,991006790259703851,In Repository,Deleted
 Advertisements Curiosities and wonders. rbgenr,860515s1797####mau#####b#####000#0#eng#d,991007061259703851,In Repository,Active
 Advertisements Drugs. rbgenr,840611s1697####nyu#####b#####000#0#eng#d,991006989049703851,In Repository,Deleted
 Advertisements Drugs. rbgenr,820609s1772####mau#####b#####000#0#eng#d,991006559599703851,In Repository,Deleted
 Advertisements Drugs. rbgenr,860220s179u####nyu#####b#####000#0#eng#d,991006954579703851,In Repository,Deleted
 Advertisements Drugs. rbgenr,861120s1784####nyu#####b#####000#0#eng#d,991007063019703851,In Repository,Active
 Advertisements Drugs. rbgenr,851021s1771####pau#####bc####000#0#lat#d,991007081049703851,In Repository,Deleted
 Advertisements Drugs. rbgenr,820916s1783####mau#####b#####000#0#eng#d,991006279119703851,In Repository,Deleted
 Advertisements Dry-goods. rbgenr,810930q17821795mau#####b#####000#0#eng#d,991006092329703851,In Repository,Deleted
 Advertisements Dry-goods. rbgenr,810904s1790####riu#####b#####000#0#eng#d,991006622159703851,In Repository,Deleted
 Advertisements Dry-goods. rbgenr,850909s1799####vau#####b#####000#0#eng#d,991006525599703851,In Repository,Deleted
 Advertisements England Leeds 19th century. rbmscv,820611s1886####enka##########001#0#eng#d,991002223179703851,In Repository,Active
 Advertisements England London 17th century. rbmscv,870415s1695####enkcf#########000#0#eng##,991003066939703851,In Repository,Active
 Advertisements England London 1855. rbgenr,770209m18551857enka##########000#f#eng##,991012085129703851,In Repository,Active
 Advertisements England London 18th century. rbgenr,841201s1783####enkaf#########000#0#eng##,991003019709703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,770406s1892####enkaf#########000#0aeng#d,991002592219703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,720222s1863####enkacf###b####001#0beng##,991004288459703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,830317s1901####enk###########000#0#eng##,991004812399703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,811201s1820####enka##########000#0#eng#d,991001942839703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,760527s1881####enkaf#########000#0#eng#d,991003087489703851,In Repository,Active
 Advertisements England London 19th century. rbgenr,920506s1864####enk###########000#0#eng#d,991002611059703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,790322s1852####enka##########000#0#eng#d,991004052879703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,790628s1898####enka##########000#0#eng##,991003963459703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,791115s1857####enkc##########000#0#eng##,991003618419703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,850614s1882####enka##########000#0#eng#d,991003933629703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,900123s1883####enkac#########000#0#eng#d,991001921489703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,760310s1885####enka##########001#0#eng##,991003006829703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,780726m18671868enkabf########000#0#eng##,991005727279703851,In Repository,Active
 Advertisements England London 19th century. rbmscv,761019s1821####enk###########000#1#eng#d,991019474656103851,In Repository,Active
 Advertisements England London 19th century. rbmscv,930120s1805####enkaf####f####001#0#eng#d,991004172879703851,In Repository,Active
 Advertisements England London 20th century. rbgenr,780417s1909####enkaf####e####000#0#eng#d,991003455099703851,In Repository,Active
 Advertisements England London 20th century. rbgenr,221207s1908####enkaf#########000#0#eng#d,991012067069703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,790504s1907####enkcf#########000#0#eng#c,991002281029703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,790529s1900####enkaf#########000#0#eng##,991003963339703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,790529s1903####enkaf#########000#0#eng#c,991003963419703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,810920s1926####enk###########000#0#eng##,991002642609703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,890817nuuuuuuuuenk###########000#0#eng#d,991003120149703851,In Repository,Active
 Advertisements England London 20th century. rbmscv,711027s1915####enk###########000#d#eng##,991005425289703851,In Repository,Active
 Advertisements Exhibitions. rbgenr,810904s1797####riu#####b#####000#0#eng#d,991006384299703851,In Repository,Deleted
 Advertisements Exhibitions. rbmscv,860515s1793####riu#####b#####000#0#eng#d,991007063889703851,In Repository,Active
 Advertisements Fairs. rbgenr,840402q16961697maua####b#####000#0#eng#d,991006648149703851,In Repository,Deleted
 Advertisements Footwear. rbgenr,850924s1769####pau#####b#####000#0#eng#d,991006986719703851,In Repository,Deleted
 Advertisements France Paris 19th century. rbgenr,820626s1886####fr#a#####b####000#0#fre##,991003974799703851,In Repository,Active
 Advertisements France Paris 19th century. rbmscv,770726m18881892fr#######b####000#0#fre##,991002355819703851,In Repository,Active
 Advertisements Germany Munich 20th century. rbmscv,750716t19331933gw############000#1#ger##,991001873049703851,In Repository,Active
 Advertisements Great Britain London 20th century. rbgenr,810622s1940####enkaf####b####000#0#eng##,991005487779703851,In Repository,Active
 Advertisements Great Britain London 20th century. rbmscv,800417s1914####enka##########000#0#eng#d,991006081059703851,In Repository,Active
 Advertisements Hardware. rbgenr,810904s1790####riu#####b#####000#0#eng#d,991006622159703851,In Repository,Deleted
 Advertisements Illinois Chicago 19th century. rbmscv,800612s1876####ilua##########001#0#eng#d,991001896929703851,In Repository,Active
 Advertisements Iron. rbgenr,940621s1768####mau#####b#####000#0#eng#d,991006162189703851,In Repository,Deleted
 Advertisements Iron. rbgenr,940621s1768####mau#####b#####000#0#eng#d,991006411289703851,In Repository,Deleted
 Advertisements Jewelry. rbgenr,860113s1794####vau#####b#####000#0#eng#d,991006986529703851,In Repository,Deleted
 Advertisements Libraries. rbgenr,840208s1778####pau#####bf####000#0deng#d,991007238879703851,In Repository,Deleted
 Advertisements Lotteries. rbgenr,861006s1771####pau#####b#####000#0#eng#d,991005820929703851,In Repository,Deleted
 Advertisements Maryland Baltimore 1932. rbgenr,880608s1932####mduab#########000#0#eng#d,991002749659703851,In Repository,Active
 Advertisements Massachusetts Boston 19th century. rbgenr,820428s1892####mauabce##b####001#0#eng##,991003292109703851,In Repository,Active
 Advertisements Massachusetts Boston 19th century. rbgenr,850613s1817####mau###########000#0#eng#d,991005208199703851,In Repository,Active
 Advertisements Massachusetts Boston 19th century. rbmscv,730629t18731873mau###########000#f#eng##,991009951039703851,In Repository,Active
 Advertisements Massachusetts Boston 19th century. rbmscv,820428s1892####mauabce##b####001#0#eng##,991003292109703851,In Repository,Active
